Document,Date,Author,Unique Agent Target,Back-likelihood-binarized-by-rule,Back-likelihood,Back-strength,Build-likelihood-binarized-by-rule,Build-likelihood,Build-strength,Bridge-likelihood-binarized-by-rule,Bridge-likelihood,Bridge-strength,Boost-likelihood-binarized-by-rule,Boost-likelihood,Boost-strength,Excite-likelihood-binarized-by-rule,Excite-likelihood,Excite-strength,Engage-likelihood-binarized-by-rule,Engage-likelihood,Engage-strength,Explain-likelihood-binarized-by-rule,Explain-likelihood,Explain-strength,Enhance-likelihood-binarized-by-rule,Enhance-likelihood,Enhance-strength,Neutralize-likelihood-binarized-by-rule,Neutralize-likelihood,Neutralize-strength,Negate-likelihood-binarized-by-rule,Negate-likelihood,Negate-strength,Narrow-likelihood-binarized-by-rule,Narrow-likelihood,Narrow-strength,Neglect-likelihood-binarized-by-rule,Neglect-likelihood,Neglect-strength,Dismay-likelihood-binarized-by-rule,Dismay-likelihood,Dismay-strength,Dismiss-likelihood-binarized-by-rule,Dismiss-likelihood,Dismiss-strength,Distort-likelihood-binarized-by-rule,Distort-likelihood,Distort-strength,Distract-likelihood-binarized-by-rule,Distract-likelihood,Distract-strength,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 20:01:44-04,Tomas_Toman1972,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @defence_mne: IT eksperti #VojskaCrneGore bili su domaćini kolegama iz @GuardMaine  prethodne sedmice. Zajedno su analizirali sposobnosti sajber odbrane VCG i MO, razmjenjivali iskustva i radili na jačanju kapacieta na tom polju. #FriendsPartnersAllies #WeAreNATO #MaineMontenegro15 https://t.co/Y0HklCDDg4",2022-04-11 19:46:51-04,ZigaLekic,defence_mne,1,1,0.667,0,0.333,0.083,0,0,0,0,0.111,0.028,0,0.235,0.147,1,1,0.625,1,0.545,0.455,1,1,0.733,0,0,0,0,0,0,1,0.200,0.200,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.083,0.083,
"IT eksperti #VojskaCrneGore bili su domaćini kolegama iz @GuardMaine  prethodne sedmice. Zajedno su analizirali sposobnosti sajber odbrane VCG i MO, razmjenjivali iskustva i radili na jačanju kapacieta na tom polju. #FriendsPartnersAllies #WeAreNATO #MaineMontenegro15 https://t.co/Y0HklCDDg4",2022-04-11 09:56:46-04,defence_mne,GuardMaine,0,0,0,0,0.333,0.083,0,0,0,0,0.111,0.028,0,0.176,0.132,0,0.111,0.069,0,0.455,0.364,1,1,0.733,0,0,0,0,0,0,1,0.200,0.200,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.083,0.083,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:46:30-04,HendrikCarly,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:35:38-04,friendsrelec,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:33:44-04,softwarnet,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:32:37-04,MindyG50986913,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
RT @usconsvancouver: Indigenous art &amp; culture plays a vital role in the PNW region. We were honored to see the 1st Indigenous collaboration with @VSOrchestra through “The Path Forward.”      are committed to advancing D&amp;I by addressing systemic racism &amp; discrimination. #FriendsPartnersAllies https://t.co/5qq8C006ih,2022-04-11 19:28:20-04,DemsAbroadCan,usconsvancouver,1,1,0.725,0,0.167,0.167,1,0.200,0.050,1,0.333,0.167,1,0.392,0.240,1,1,0.699,0,0.364,0.250,1,1,0.783,0,0,0,1,0.103,0.077,1,0.467,0.400,1,0.667,0.667,1,0.228,0.162,1,0.271,0.177,0,0,0,1,0.250,0.208,
Indigenous art &amp; culture plays a vital role in the PNW region. We were honored to see the 1st Indigenous collaboration with @VSOrchestra through “The Path Forward.”      are committed to advancing D&amp;I by addressing systemic racism &amp; discrimination. #FriendsPartnersAllies https://t.co/5qq8C006ih,2022-04-11 16:05:33-04,usconsvancouver,,0,0,0,0,0.167,0.167,1,0.200,0.050,1,0.333,0.167,1,0.333,0.225,0,0.185,0.144,0,0.273,0.159,1,1,0.783,0,0,0,1,0.103,0.077,1,0.467,0.400,1,0.667,0.667,1,0.228,0.162,1,0.271,0.177,0,0,0,1,0.250,0.208,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:24:40-04,Cox_NukePol,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:22:41-04,SKmartinTO,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:18:43-04,HarjivanSolank5,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
